Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1654,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1693,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1821,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1796,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1868,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2181,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,2036,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1842,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1959,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1421,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1864,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,2191,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,1921,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1820,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,1900,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,2086,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,2140,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,2227,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,1894,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,1865,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,1895,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,2000,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,2258,
Earnings,Anne Arundel WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,2173,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,49,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,353,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,279,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,91,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,21,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-5883,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1892,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,1973,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,1260,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,1363,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,1796,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2015Q3,72,Accommodation and Food Services,-569,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2016Q3,72,Accommodation and Food Services,-960,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2020Q3,72,Accommodation and Food Services,1542,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2016Q4,72,Accommodation and Food Services,-269,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2020Q2,72,Accommodation and Food Services,-1727,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2019Q3,72,Accommodation and Food Services,-888,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2017Q3,72,Accommodation and Food Services,-964,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2019Q4,72,Accommodation and Food Services,-898,
Job Change,Anne Arundel WIA,Maryland Job Net Change by Industry,2018Q4,72,Accommodation and Food Services,-809,
