Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1394,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,1757,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1563,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,1591,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1529,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1449,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1525,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1562,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1542,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1624,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,1656,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1415,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,1635,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,1646,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,1696,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1545,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,1729,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,1884,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,1576,
Earnings,Southern Maryland WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,1581,
