Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1304,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1345,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1383,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1421,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,1463,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,1652,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1437,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1462,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1489,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1552,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,1648,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1256,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1456,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,1532,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,1505,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,1618,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,1600,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,1490,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,1810,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,1483,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,1520,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,1587,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,1789,
Earnings,Western Maryland WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,1638,
Job Change,Western Maryland WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,34,
Job Change,Western Maryland WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,54,
Job Change,Western Maryland WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-1785,
