Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1891,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,2027,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1895,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,2095,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,2154,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2508,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,2123,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,2020,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,2256,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,2242,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,2376,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1770,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,2160,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,2049,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,2158,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,2159,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,2327,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,2345,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,2196,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,2180,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,2239,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,2307,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,2432,
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,2464,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,-72,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,405,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,243,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-7641,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,1301,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,293,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,937,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,899,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,1064,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,634,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q2,72,Accommodation and Food Services,-2236,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,1058,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q3,72,Accommodation and Food Services,-297,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q3,72,Accommodation and Food Services,-971,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q3,72,Accommodation and Food Services,-425,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q3,72,Accommodation and Food Services,1226,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q3,72,Accommodation and Food Services,-458,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q3,72,Accommodation and Food Services,-586,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q4,72,Accommodation and Food Services,-811,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q4,72,Accommodation and Food Services,-1249,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q4,72,Accommodation and Food Services,-378,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q4,72,Accommodation and Food Services,-465,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q4,72,Accommodation and Food Services,-1098,
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q4,72,Accommodation and Food Services,-916,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q1,72,Accommodation and Food Services,4466,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q1,72,Accommodation and Food Services,4751,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q1,72,Accommodation and Food Services,5244,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q1,72,Accommodation and Food Services,6003,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q1,72,Accommodation and Food Services,5188,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q1,72,Accommodation and Food Services,4513,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2021Q1,72,Accommodation and Food Services,3098,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q2,72,Accommodation and Food Services,6549,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q2,72,Accommodation and Food Services,6788,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q2,72,Accommodation and Food Services,6585,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q2,72,Accommodation and Food Services,6987,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q2,72,Accommodation and Food Services,2469,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q2,72,Accommodation and Food Services,7583,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q3,72,Accommodation and Food Services,6137,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q3,72,Accommodation and Food Services,6127,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q3,72,Accommodation and Food Services,6586,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q3,72,Accommodation and Food Services,6428,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q3,72,Accommodation and Food Services,6635,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q3,72,Accommodation and Food Services,3886,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q4,72,Accommodation and Food Services,5546,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q4,72,Accommodation and Food Services,5347,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q4,72,Accommodation and Food Services,5559,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q4,72,Accommodation and Food Services,5313,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q4,72,Accommodation and Food Services,5818,
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q4,72,Accommodation and Food Services,3210,
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q1,72,Accommodation and Food Services,5011,
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q1,72,Accommodation and Food Services,4831,
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q1,72,Accommodation and Food Services,5751,
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q1,72,Accommodation and Food Services,5455,
Separations,Baltimore City WIA,Maryland Separations by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Separations,Baltimore City WIA,Maryland Separations by Industry,2020Q1,72,Accommodation and Food Services,12897,
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q1,72,Accommodation and Food Services,5430,
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q2,72,Accommodation and Food Services,6449,
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q2,72,Accommodation and Food Services,6358,
Separations,Baltimore City WIA,Maryland Separations by Industry,2020Q2,72,Accommodation and Food Services,5096,
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q2,72,Accommodation and Food Services,6345,
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q2,72,Accommodation and Food Services,7322,
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q2,72,Accommodation and Food Services,7028,
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q3,72,Accommodation and Food Services,7432,
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q3,72,Accommodation and Food Services,7484,
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q3,72,Accommodation and Food Services,7238,
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q3,72,Accommodation and Food Services,7861,
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q3,72,Accommodation and Food Services,7574,
Separations,Baltimore City WIA,Maryland Separations by Industry,2020Q3,72,Accommodation and Food Services,4960,
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q4,72,Accommodation and Food Services,7228,
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q4,72,Accommodation and Food Services,6635,
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q4,72,Accommodation and Food Services,6970,
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q4,72,Accommodation and Food Services,6404,
Separations,Baltimore City WIA,Maryland Separations by Industry,2020Q4,72,Accommodation and Food Services,5245,
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q4,72,Accommodation and Food Services,6805,
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2016Q1,72,Accommodation and Food Services,14.1,
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2015Q1,72,Accommodation and Food Services,14.1,
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2017Q1,72,Accommodation and Food Services,14.6,
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2019Q1,72,Accommodation and Food Services,14.7,
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2020Q1,72,Accommodation and Food Services,19.3,
