Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1543,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2100,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1715,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,1864,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1609,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1782,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1702,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1744,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1872,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1690,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,1985,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1818,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1668,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,1787,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,1790,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,1854,
Earnings,Baltimore County WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,1929,
