Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1796,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,2374,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,2387,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1842,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,2366,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2542,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,2277,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1935,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,2311,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,2428,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1583,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1979,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1906,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,2031,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,2324,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,2380,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,2457,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,2214,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,2002,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,2006,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,2269,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,2365,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,2470,
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,2478,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,268,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,549,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,71,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,280,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,138,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-7927,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,1032,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1407,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,889,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2020Q2,72,Accommodation and Food Services,-3040,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,878,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,965,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2015Q3,72,Accommodation and Food Services,-317,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2017Q3,72,Accommodation and Food Services,-619,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2016Q3,72,Accommodation and Food Services,-708,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2019Q3,72,Accommodation and Food Services,-1034,
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2018Q3,72,Accommodation and Food Services,-547,
