Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1335,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1520,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,1521,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,1751,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1375,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1469,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1514,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1510,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1541,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1589,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,1627,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1340,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1560,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,1667,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,1574,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,1708,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,1614,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,1938,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,1528,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,1473,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,1582,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,1484,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,1631,
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,1881,
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,-159,
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,47,
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,168,
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,-153,
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-2817,
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1186,
